claim,claim_id,label
"""Several cities have started to use """"silent fireworks"""" in order to make the shows more enjoyable for children, pets, and people with PTSD.""",UL001494,unproven
"Of the Trump administration’s European travel restrictions that exempt the U.K.: “Well, you can just get into the Chunnel, and you’ll be in the U.K.”",UL001495,unproven
This Chef Lost 50 Pounds And Reversed Pre-Diabetes With A Digital Program,UL001496,unproven
The media lied about the Momo challenge and real Momo videos have been located and shared.,UL001497,unproven
Less Frequent Mammograms May Lower False-Positive Results,UL001498,unproven
"Said that living near wind turbines is noisy, enough to make someone “go crazy after a couple of years.”",UL001499,unproven
"""In Flint, Mich., """"the pipes still haven't been replaced. The water is still poisoned.""",UL001500,unproven
Injecting Migraine Pain Away,UL001501,unproven
"""NextGen Climate Says Rick Scott """"is letting Duke (Energy) keep collecting billions"""" despite troubled power plants.""",UL001502,unproven
"Newly uncovered video depicts Bernie Sanders, intoxicated and shirtless, singing in Russia in 1988.",UL001503,unproven
A study has proved that pineapple juice is five times more effective than cough syrup.,UL001504,unproven
"""The medical marijuana ballot initiative """"doesn’t require a physician writing a prescription"""" and can be for conditions like """"having a back that needs to be scratched.""",UL001505,unproven
I’m ninth generation from New Hampshire.,UL001506,refutes
New apps designed to reduce depression and anxiety as easily as checking your phone,UL001507,unproven
Farmers are injecting fruits and vegetables with the human hormone oxytocin to enhance their growth and appearance.,UL001508,unproven
H.R. 6666 provides $100 billion to entities that perform COVID-19 testing but prohibits them from allowing any non-vaccinated persons into their facilities.,UL001509,refutes
Study disputes wait-and-see approach to prostate cancer,UL001510,unproven
A list  documents the myriad reasons why people were committed to insane asylums in the 19th century.,UL001511,unproven
Diabetics Try New Round-The-Clock Sensor,UL001512,unproven
Hot flash remedies: Estrogen may be the best answer,UL001513,unproven
"The Crusades Have Finally Started Again, a forwarded email and forum post making the rounds online since 2016, makes a number of claims about foreign countries cracking down on Muslims and urges similar steps in the United States.",UL001515,unproven
New “morning-after” pill effective and safe: FDA staff,UL001516,unproven
Drug also halts HIV in straight couples,UL001517,unproven
"Duey Stroebel Says that under order from Gov. Tony Evers, he and his eight children can’t legally have dinner together anymore.",UL001518,supports
Cervical cancer breakthrough,UL001520,unproven
103 NHS walk-in centres have closed or been downgraded since 2010.,UL001521,unproven
Anti-rejection medications for transplant recipients protect against Alzheimer's disease,UL001522,unproven
"""The Consumer Financial Protection Bureau has """"no congressional oversight.""",UL001523,unproven
AstraZeneca Says Brilinta Beats Plavix in Clinical Trial,UL001526,unproven
Rudy Giuliani Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,UL001527,unproven
Common cold duration is shortened similarly by zinc acetate and zinc gluconate lozenges,UL001528,unproven
Chinese plants are processing chickens raised by Tyson in the U.S. and shipping them back to America.,UL001529,supports
"Actor Lucy Liu is also a world renowned artist known for her lesbian paintings under the pseudonym Yu Ling, which is her Chinese name.",UL001530,refutes
"MT Pharma America Announces FDA Approval of RADICAVA™ (Edaravone), the First New Treatment Option for ALS in More Than 20 Years",UL001531,unproven
Club Drug Ketamine Gains Traction As A Treatment For Depression,UL001532,unproven
Blood thinners on 'as needed' basis is safe and effective for lowering stroke risk as compared to long-term use,UL001533,unproven
New asthma inhaler approved for children,UL001534,unproven
Fentanyl users are stabbing their needles into toilet paper rolls in public bathrooms to clean them.,UL001535,refutes
"It’s been rumored that a hoverboard law taking effect on January 1, 2016, permits and regulates the use to hoverboards in public spaces.",UL001536,refutes
"""The Boy Scouts of America lost 425,000 members in May 2018, in response to a decision to integrate more girls into the organization, and to give the """"Boy Scouts"""" program a new, gender-neutral name.""",UL001537,unproven
A transgender woman raped a young girl in a women's bathroom because bills were passed allowing transgender people to use bathrooms which correspond with their gender.,UL001538,unproven
"Vintage Pyrex contains unsafe levels of lead, making it dangerous for any sort of food serving or storing purpose.",UL001539,unproven
"Jerry Brown vetoed a wildfire management bill in 2016, contributing to the prevalence and risk of wildfires in the ensuing two years.",UL001540,unproven
Surgery for chronic temporal headaches -- simplified approach shows good results,UL001541,unproven
Alaska Airlines flight attendant saved a young female passenger from human trafficking during a flight in 2011.,UL001542,refutes
"""Sharron Angle supported """"a Scientology plan to give massages to prisoners.""",UL001543,refutes
"""300,000 Floridians will lose their current health plans"""" because of Obamacare, a plan Alex Sink supports.""",UL001544,unproven
People in Brooklyn are refusing to vaccinate their pets based on fears created by the anti-vaccine movement.,UL001545,refutes
Stem Cells Carry Hope for Lupus,UL001546,unproven
"Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.",UL001547,supports
Tri(n) butylphosphate is in vaccines and is potentially damaging to the kidneys and the nervous system.,UL001548,unproven
Videos show people collapsing on the street due to coronavirus.,UL001549,unproven
"""In a 1990 episode, """"The Simpsons"""" predicted future real-life campaigns to censor and cover up replicas of Michelangelo's """"David"""" statue.""",UL001550,unproven
"""Jeff Jackson Says North Carolina """"hospital beds are typically 85% full across the state.”""",UL001551,refutes
"An Federal Communications Commission (FCC) decision about a             particular occurrence of the F-word on a telecast has sparked controversy,             but it isn’t accurate to say that the FCC has approved blanket use             of the F-word on radio and television. On April 1, 2013 the FCC released a public notice requesting comments   regarding their indecency policies. Click for statement. Currently, the FCC has   a    guideline posted on their website stressing that content is   important to whether or not they will pursue a broadcaster for   violations. The guideline said, “It is a violation of federal law   to air obscene programming at any time. It is also a violation of   federal law to air indecent programming or profane language during   certain hours. Congress has given the Federal Communications Commission   (FCC) the responsibility for administratively enforcing these laws. The   FCC may revoke a station license, impose a monetary forfeiture or issue   a warning if a station airs obscene, indecent or profane material.” It was during the Golden Globes Awards telecast on January 19, 2003             that Bono of the band U2 told the audience “this is really,             really, f___ing brilliant”” The FCC said the comment was             also reported as “this is f___ing great.” There were numerous complaints. The FCC issued a ruling that said Bono used the word as an adjective             and not to describe sexual or excretory organs or activities, which             is the FCC’s key test for broadcast indecency. In it’s ruling, the FCC said that such “fleeting and isolated             remarks of this nature do not warrant Commission action.” Still, critics are saying that even the use of the F-word as an             adjective has not been that common on broadcasts, primarily because             of fear of running afoul of the FCC and they fear this will mark a             change. The FCC responds to complaints of viewers and listeners and rulings             regarding objectionable words and scenes have been made before,             especially about radio programs. An FCC decision is not the only one affecting what is broadcast. There are also local or state laws that are a part of the picture as             well as the decisions and standards of broadcast organizations…not             to mention the public. Posted 11/24/03  Updated 4/10/13 Comments",UL001553,unproven
Iceland has virtually removed the occurrence of Down syndrome from their population through abortion.,UL001554,unproven
Screening MRI benefits women at average risk of breast cancer,UL001555,unproven
Reports have gone viral that   Fireball Whiskey has been recalled because it contains an ingredient   found in anti-freeze.,UL001556,unproven
Shots more effective than FluMist in adults,UL001558,unproven
Study Shows SAMe May Ease Depression,UL001560,unproven
New vaccine strategy better protects high-risk cancer patients from flu,UL001561,unproven
A school district in Utah included a template letter to send home if a student or staff member died after reopening amid the COVID-19 pandemic.,UL001562,unproven
A Portable Glow to Help Melt Those Winter Blues,UL001563,unproven
Quick fix for nearsightedness; 20-minute operation adds a permanent contact lens for instant vision upgrade,UL001564,unproven
"If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne.",UL001565,unproven
The Food and Drug Administration has halted all food inspections due to the federal government shutdown.,UL001566,unproven
"""Gavin Newsom Says Indiana Gov. Mike Pence """"advocated diverting taxpayer dollars to so-called conversion therapy.""",UL001567,unproven
The state that has the highest per capita number of … guns that end up committing crimes in New York come from Vermont.,UL001568,unproven
"Georgia's House Bill 481 would, when implemented, leave women open to prosecution for criminal abortion, murder, or second-degree murder for having abortions or miscarriages.",UL001569,unproven
Safe form of estrogen helped Multiple Sclerosis patients avoid relapses in UCLA led clinical trial,UL001570,unproven
"The real-life Lone Ranger was a black man, a freed slave named Bass Reeves.",UL001571,unproven
New ALS drug Radicava comes with new questions as well,UL001572,unproven
Asparagus has miraculous cancer-fighting properties.,UL001573,unproven
"""Tom Graves Says President Barack Obama """"has amended, delayed, or repealed 19 components of his very own (health care) law.""",UL001574,unproven
"The night Jeffrey Epstein died, cameras malfunctioned inexplicably in parts of Metropolitical Correctional Center (MCC).",UL001575,refutes
Gene-Targeted Cancer Fix Could Be a Breakthrough,UL001576,unproven
Joe Biden's son Hunter was dishonorably discharged from the Navy for cocaine use.,UL001577,unproven
"""Due to the war in Iraq, """"4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.""",UL001578,unproven
Blood injections may help chronic “tennis elbow”,UL001579,unproven
"Low-carb, low-calorie diets can both result in weight loss",UL001580,unproven
"""Affordable Care Act 2019 premiums """"are far lower than they would have been under the previous administration ... because we're managing it very, very carefully.""",UL001582,unproven
Spinal Fluid Test May Diagnose Alzheimer’s,UL001583,unproven
'Game-changing' immunotherapy doubles head and neck cancer survival,UL001584,unproven
Chocolate May Cut Women’s Stroke Risk,UL001585,unproven
New research ranks the effectiveness of nonsurgical treatments for knee osteoarthritis,UL001586,refutes
Breast cancer screening test may find disease when mammograms miss,UL001587,unproven
"""Adhering a strip of medical tape at the top of a face mask will prevent glasses from fogging up """"for hours.""",UL001588,unproven
“Alexandria Ocasio-Cortez votes with President Trump more than Abigail Spanberger does.”,UL001590,unproven
"""Portraits depict Agnes Sorel in the 1400s, exposing her favorite breast and myths about """"modesty.""",UL001591,refutes
"Keurig coffee maker users are at risk because the machines are prone to growth of mold, algae, and bacteria.",UL001592,unproven
"""I haven't switched my position"""" on the Trans-Pacific Partnership trade deal.""",UL001593,unproven
Text messaging program may help pregnant women kick the smoking habit,UL001594,unproven
"""Since 2000, Texas has reduced """"harmful pollutants in the air like nitrogen oxide by 62.5 percent, and ozone by 23 percent--a reduction that is 12 percent greater than the national average.""",UL001596,unproven
Rep. Jason Chaffetz is investigating a PBS show instead of President Donald Trump's alleged Russian connections,UL001597,unproven
"Claims that Milk-Bone brand dog treats contain BPH, a preservative allegedly known to cause cancer, have gone viral.",UL001598,unproven
A meme contains accurate information about the founders of Papa John's (John Schnatter) and Little Caesar's (Mike Ilitch) respectively.,UL001599,unproven
Simple mineral could be cure for complex disease,UL001601,unproven
Chipotle's 2015 outbreaks of foodborne illness were the work of pro-GMO bioterrorists.,UL001602,unproven
Measles vaccines are less effective than previously believed and the   patient zero measles carrier in the Disneyland measles outbreak may have   been immunized against measles.,UL001603,refutes
A rural hospital in Missouri closes every 8 months. The legislature’s failure to expand Medicaid has brought crisis to many of Missouri’s rural health care providers.,UL001604,refutes
Scorpion venom component can reduce severity of rheumatoid arthritis,UL001605,unproven
Scientists back brain drugs for healthy people,UL001606,unproven
"""Georgia's U.S. senators voted for legislation that would """"gut clean air protections and increase oil dependence.""",UL001607,unproven
Medical First: Brain tumor breached with ultrasound,UL001608,unproven
"""A meme shows a number of Soviet """"Space Race"""" firsts, achievements of which many Americans are unaware.""",UL001609,unproven
eRumor stating that Joe Biden will make an   announcement that owing to health problems that he will step down as the   Vice Presidential candidate and name Hillary Clinton as his replacement.,UL001610,unproven
FDA allows marketing of cooling cap to reduce hair loss during chemotherapy,UL001611,unproven
Bethania Palma,UL001613,refutes
"In late 2018 or early 2019, a pattern of druggings and abductions took place in Arizona and Texas whereby human traffickers used breath mints",UL001614,unproven
"A reported .04 percent death rate for COVID-19 is inaccurate, and a death rate cannot be calculated by dividing the number of deaths by a country's population size.",UL001615,unproven
A meme accurately compares police training and police killings in the United States and three Nordic countries.,UL001616,unproven
Striking' Results from Early Zika Vaccine Trial,UL001617,unproven
New Test for Brain Injury on Horizon,UL001618,unproven
Study finds mammograms offer modest benefit,UL001619,unproven
"Bernie Sanders was forced to endorse Hillary Clinton under DNC rules, but can go on to win a contested convention like FDR (who also endorsed his opponent before winning).",UL001620,unproven
"On July 7 2020, new cases of coronavirus numbered 298 in Germany, 10 in Denmark, 11 in Norway, 57 in Sweden, and 55,442 in the United States.",UL001621,refutes
"Cocktails are a wholly American invention, popularized by Prohibition.",UL001623,unproven
"Banana Boat brand sunscreen is causing severe burns, particularly on toddlers and young children.",UL001624,unproven
KETAMINE SHOWS PROMISE AS TREATMENT FOR ADOLESCENTS WITH DEPRESSION,UL001625,unproven
"For years now, we have spent more money than we have taken in.",UL001627,unproven
Low-dose lithium reduces side effects from most common treatment for Parkinson's disease,UL001628,unproven
A company is developing a lab-grown chicken nugget made from feathers.,UL001629,unproven
A photograph shows rosaries confiscated from border detainees.,UL001630,unproven
“You’re more likely to die of influenza right now” than the 2019 coronavirus.,UL001631,unproven
"""Joni Ernst Says personhood legislation she sponsored would not have restricted access to reproductive services and was """"simply a statement that I support life.""",UL001633,unproven
One Blood Test Might Be Enough to Diagnose Diabetes,UL001634,unproven
"""Legendary performer David Bowie had a one-on-one meeting with one autistic child when the film """"Labyrinth"""" originally premiered.""",UL001635,unproven
Surveys of teens in high school reveal that knowing a classmate who sells cannabis is 90 times more common than knowing a classmate who sells alcohol.,UL001636,unproven
"""A proposed bill in the Florida Legislature """"would authorize the public hoarding of cats by feral cat activists.""",UL001637,unproven
It's Snakes to the Rescue for Heart Patients,UL001638,unproven
Scientists discover and target brain area in patients with schizophrenia who 'hear voices',UL001639,unproven
Video clip shows an elephant painting a picture of an elephant.,UL001640,unproven
Coconut oil has a positive effect on cognition and focus.,UL001641,unproven
A PBS interview showed that former New York City Mayor Rudy Giuliani's hands were a different color than his face.,UL001642,unproven
Daily Aspirin Linked to Steep Drop in Cancer Risk,UL001643,unproven
"""The Democrats' health care bill """"gives a new Health Choices Commissioner the right to look at an individual's tax return to determine what medical benefits or subsidies that person qualifies for.""",UL001644,unproven
Swallowing active dry yeast before drinking alcohol will prevent you from getting drunk.,UL001645,unproven
"""Ken Tanner Says """"The idea of one casino per tribe is a false one.""",UL001647,unproven
"Soy, cruciferous vegetables associated with fewer common breast cancer treatment side effects – Georgetown University Medical Center",UL001648,unproven
"""In 1943 the Supreme Court ruled that no one can be forced to participate in patriotic rituals such as the Pledge of Allegiance and the national anthem, so calling for NFL players to be fired for """"taking a knee"""" in protest amounts to calling for the law to be broken.""",UL001649,refutes
"""Sarah Palin endorsed a Wasilla policy that charged sexual assault victims for their """"rape kits.""",UL001650,unproven
A pathologist said that Jeffrey Epstein's death looked more like homicide than suicide.,UL001651,unproven
List describes the duties and obligations of honor guards at the Tomb of the Unknown Soldier.,UL001652,unproven
Singer Olivia Newton-John hovers close to death due to a recurring bout of cancer and has only weeks to live.,UL001654,unproven
"""The United States issued a travel warning for New Zealand on August 6 2020, due to the country's """"23 active cases"""" in managed quarantine.""",UL001655,unproven
"""Young people are growing """"horns"""" in the base of their skulls from looking down at cellphone screens.""",UL001657,unproven
Dementia patients live longer when families delay putting them in a nursing home,UL001658,unproven
"Ann Scott, the wife of Florida's governor, owns a Zika mosquito spraying business.",UL001659,unproven
Exact Sciences and Mayo Clinic study shows promise of new blood-based lung cancer test,UL001660,unproven
Husbands rarely beat up their wives. Single women get beaten up more.,UL001661,unproven
Study: Rapidly rising PSA signals more aggressive prostate cancer,UL001662,unproven
"By law, a driver must surrender his vehicle to a policeman who requests its use in order to chase a fleeing suspect.",UL001664,unproven
Deep Brain Stimulation for Stubborn Hypertension,UL001665,unproven
"As many as 22,000 Americans die each year because they don’t have health insurance.",UL001666,unproven
"Mix, match, and switch: Kidney exchanges between strangers",UL001667,refutes
"Study of 83,000 veterans finds cardiovascular benefits to testosterone replacement",UL001668,unproven
Animated GIF accurately shows a massive spike in jobless claims and unemployment during the COVID-19 pandemic in 2020.,UL001669,unproven
"“In a matter of days, and in some cases the moment may even have passed, that we’ve reached the peak of the rate of infections.”",UL001670,unproven
"Barley lowers not one but two types of 'bad cholesterol', review suggests",UL001671,unproven
Vitamin D supplements could help reduce falls in homebound elderly,UL001672,unproven
"“Cases, numbers and deaths (of COVID-19) are going down all over the Country!”",UL001673,refutes
Cuba has a lung cancer vaccine we in the US had no access to because we sanctioned Cuba.”,UL001675,unproven
McDonald's is importing foreign beef for use in its restaurants in the United States and Canada.,UL001676,unproven
"Samaritan's Purse, a non-profit headed by anti-LGBTQ evangelical Christian Franklin Graham, is providing care to COVID-19 patients in New York City.",UL001677,unproven
Mayo Clinic finds surprising results on first-ever test of stem cell therapy to treat arthritis,UL001678,unproven
You’re in more trouble if you leave your pet in the car than if you leave your child in the car.,UL001679,unproven
One extra year of schooling for girls reduces infant mortality rates among their children by up to 10 percent.,UL001680,unproven
Restroom hand dryers spread disease by blowing germs and bacteria around.,UL001681,unproven
Police are asking meth users to bring in their drugs because they might be contaminated with Ebola.,UL001682,unproven
"""A proposed amendment """"allows a teenager to get a recommendation for medical marijuana without the consent of a parent.""",UL001683,unproven
"New study casts more doubt on drugs Vytorin, Zetia",UL001684,unproven
Deep Brain Stimulation Might Ease Tough-to-Treat Hypertension,UL001686,unproven
Lab-grown mouse sperm could spawn fertility treatments for men,UL001688,unproven
Sleep’s role in weight loss remains a mystery,UL001689,unproven
Breast Cancer Drug Good Later Than Thought,UL001690,refutes
Images show the Spanish Army in the process of locking the country down to prevent the spread of coronavirus strain COVID-19.,UL001691,refutes
Sleep deprivation is an effective anti-depressant for nearly half of depressed patients,UL001692,unproven
Busy lives demand at-home dialysis,UL001693,unproven
"""A photograph shows a family and their cat wearing masks during the 1918 """"Spanish flu"""" pandemic.""",UL001695,unproven
"Most U.S. women face heart, stroke risk",UL001696,unproven
New ways to plump up those wrinkles,UL001697,unproven
Drug-laced suckers are being handed out to children in Arkansas.,UL001698,refutes
Measuring new hormone may reduce teenagers wrongly diagnosed with PCOS,UL001699,unproven
FDA approves better vaccine against painful shingles virus,UL001700,unproven
Cream of tartar and orange juice are effective ways to reduce or stop nicotine cravings and aids attempts to quit smoking.,UL001701,unproven
"Cavities are contagious, primarily between intimate partners or children and caregivers.",UL001702,unproven
"""Johnson & Johnson """"admitted"""" that their brand baby products contain formaldehyde, which is a known carcinogen.""",UL001703,unproven
“3.8% of Wisconsin’s coronavirus funding has been spent.”,UL001704,unproven
Gene test may aid in treating lung cancer,UL001705,unproven
Drinking cocktails from a copper mug can cause copper poisoning,UL001706,unproven
A Simple Emergency Room Intervention Can Help Cut Suicide Risk,UL001707,unproven
Noninvasive Test for Colon Cancer Shows Promise in Early Trial,UL001709,unproven
Young prodigy Brandenn Bremmer achieved a number of successes before taking his own life at age14 so that he could donate his organs to others.,UL001710,unproven
Surgical procedure urged for atrial fibrillation,UL001711,unproven
Adding Atezolizumab Immunotherapy to Chemotherapy Slows Growth of Advanced Squamous Lung Cancer,UL001712,refutes
Your diet can prevent Alzheimer’s,UL001713,unproven
An angry mother delivered a scathing response to school officials after her daughter was punished for punching a classmate who snapped her,UL001714,unproven
"""George Holding Says North Carolina Rep. Renee Ellmers was the only Republican to vote against """"an amendment to prioritize the deportation of sexual criminals who are illegal immigrants.""",UL001715,unproven
"""A new Republican litmus test """"would have resulted in (the GOP) kicking out Ronald Reagan.""",UL001716,unproven
Popular Bone Drugs Linked to Reduced Colon Cancer Risk,UL001717,unproven
"""Measures in Barack Obama's health plan could """"lower health care costs for the typical family by $2,500 a year.""",UL001718,unproven
A list accurately portrays the NFL's history on free speech issues.,UL001720,unproven
The ingestion of raisins or grapes can produce acute renal failure in dogs.,UL001721,supports
New research raises hopes in quest to find universal flu vaccine,UL001722,unproven
President Trump “signed an executive order allowing our veterans to get 100% medical bills paid at hospitals other than a V.A. hospital.”,UL001724,refutes
"New day' in lung cancer as Merck drug shines, works with chemo",UL001725,unproven
Anesthetic cream best for relieving vaccination pain in infants,UL001726,unproven
"Beta-Propiolactone is in vaccines and is known to cause cancer, suspected gastrointestinal, liver, nerve and respiratory, skin and sense organ poison.",UL001727,unproven
"Lyme disease is one of the fastest growing infectious diseases in the United States, and Rhode Island has the second-highest incidence of this disease in the country.",UL001728,unproven
"A Vaginal Ring Could Prevent HIV, Two Huge Studies Just Found",UL001729,unproven
"A forwarded email with examples of untimely deaths of people who mocked God. The email quotes Galatians 6:7 and lists a group of people who all mocked God and died.  The first example is of former Beatle John Lennon who said that the Beatles were more popular than Jesus.   Also included in the list are Marilyn Monroe, a rock singer who sang that he was on a “Highway to Hell”,  a Brazilian president elect, a Brazilian singer and the man who built the RMS Titanic.",UL001731,unproven
Nivolumab immunotherapy helps patients with advanced bladder cancer,UL001732,unproven
"U.S. citizens married to immigrants will not receive stimulus checks via the March 2020 Coronavirus Aid, Relief, and Economic Security (CARES) Act.",UL001733,unproven
You should also gargle as a prevention. A simple solution of salt in warm water will suffice.,UL001734,unproven
""" Dr. Ben Carson said the """"disintegration of the family unit and the welfare state are enslaving African-Americans and ruining their futures"""" but received help from such programs in his youth.""",UL001735,refutes
"""On Neil Cavuto's Fox News show, House Majority Whip James Clyburn said that Black unemployment under Trump was not the lowest when compared with the rate """"during slavery.""",UL001736,unproven
New Nerve Stimulation Technique Might Relieve Back Pain,UL001737,unproven
"Lilly’s Alzheimer’s Drug May Slow Patients’ Decline, Study Shows Separate study shows experimental Biogen drug also holds promise",UL001738,unproven
"Chemo damages brain, study finds",UL001740,unproven
"More than 2,000 more fully qualified staff working in mental health trusts since 2013.",UL001741,unproven
Clinical study shows that retinal imaging may detect signs of Alzheimer's disease,UL001742,unproven
Glutaraldehyde is in vaccines and is poisonous if ingested and causes birth defects in animals.,UL001743,unproven
Magnet device aims to treat depression patients,UL001744,unproven
"People started to ignore social distancing rules during the 1918 pandemic, leading to a second wave of infections that killed more people than all of World War I.",UL001745,unproven
"""The Iran nuclear deal """"pushed back a nuclear breakout 10, 20 years.""",UL001746,unproven
"""U.S. Sen. Kamala Harris met with Jacob Blake — who, a meme claimed, """"raped a woman” — and told him that she was “proud of him” in September 2020.""",UL001747,refutes
A photograph shows a newborn child who weighed 8.6 kg (18.96 lbs.) at birth.,UL001748,supports
“Conservative Supreme Court Justices vote remotely to deny Wisconsin voters their right to vote remotely.”,UL001749,unproven
Artificial pancreas would dial up diabetes control,UL001751,unproven
Twitter user @into_the_brush provided an accurate account of attempting to be tested for novel coronavirus (COVID-19) in Seattle.,UL001752,unproven
"""House Republicans pledged to introduce a bill to reform America’s health care system,"""" but """"the 'party of no' has . . . failed to produce legislation.""",UL001753,refutes
"A recent international investigation resulted in the shutting down of an online pedophilia forum with some 70,000 members worldwide.",UL001755,refutes
Former NFL quarterback Tim Tebow was born when his mother declined to undergo an abortion after experiencing a life-threatening illness during her pregnancy.,UL001756,unproven
Ankle replacement gives D.M. woman ‘full day’,UL001757,unproven
Under Armour garments are more flammable than other garments of their type.,UL001758,unproven
Study: Avidâ€™s Imaging Dye Can Detect Alzheimerâ€™s From Scan,UL001759,unproven
Two British teens who killed a child when they were ten years old were granted anonymity for life by the courts and released from custody in June 2001.,UL001760,unproven
Mike Pence once said that smoking doesn't kill people.,UL001762,refutes
"We bring in enough tax revenue to service our debt, pay for Medicare and Medicaid and Social Security, and then still have about $300 (billion) or $400 billion left over.",UL001763,unproven
"Mediterranean diet cuts heart, diabetes risk factors",UL001764,unproven
Magnetic brain stimulation fights depression,UL001765,unproven
More Than 22% of Heart-Device Implantations Aren’t In Line With Guidelines,UL001766,unproven
"""The 1994 crime law """"worked in some areas. But it failed in others. ... The violent crime rate was cut in half in America.""",UL001767,unproven
Acupuncture May Help Lazy Eye,UL001768,unproven
List reproduces various statements made by Hillary Clinton.,UL001770,unproven
Prostate-Cancer Gene Test Helps Patients Decide on Treatment,UL001771,refutes
PETA workers are stealing family pets and euthanizing them.,UL001772,supports
"In October 2019, the Rev. Robert Morey of St. Anthony's parish in Florence, South Carolina, refused former Vice President Joe Biden the Catholic rite of communion.",UL001773,unproven
Eating your way to lower cholesterol,UL001774,unproven
Essure tubal coil permanent birth control catching on,UL001775,unproven
"We’ve cut taxes 75 times, cut $7.5 billion worth in taxes, and as a result we’ve added over 1.3 million jobs.",UL001776,unproven
"""Secret Service and military personnel have used the designation """"Broomstick One"""" for aircraft carrying Hillary Clinton.""",UL001777,unproven
Drinking a glass of water before going to bed helps prevent stroke and heart attacks.,UL001778,unproven
Chelsea Clinton’s apartment is a secret medical facility that Hillary Clinton visits to get treatment for conditions that she keeps hidden from the public.,UL001779,unproven
Ibuprofen May Help Stave Off Parkinson’s,UL001780,unproven
"Irena Sendler, credited with saving 2,500 Polish Jews from the Holocaust, was a candidate for the 2007 Nobel Peace Prize but lost out to Al Gore.",UL001781,unproven
"""Planned Parenthood enforces """"abortion quotas"""" and rewards well-performing employees for promoting abortion services.""",UL001782,unproven
Fishing nets make up half the plastic in the ocean.,UL001783,unproven
Bones found on the remote Pacific Island of Nikumaroro belong to famed aviator Amelia Earhart.,UL001784,refutes
Health officials warned that a new STD superbug could be deadlier than AIDS.,UL001785,unproven
"In 2012, Usher paid $1.1 million to settle a lawsuit brought by a woman claiming he had knowingly infected her with herpes.",UL001786,unproven
We fact-check a series of claims about the damage caused by Colorado's legalization of recreational cannabis.,UL001789,unproven
"Even partial steroid treatment can benefit extremely preterm infants, NIH study suggests",UL001790,unproven
A blood test for pancreatic cancer may re-stack the odds in patients' favor,UL001791,unproven
Cognitive behavior therapy can help overcome fear of the dentist,UL001793,unproven
Fisherman on Réunion Island employ live dogs as bait for shark-fishing.,UL001794,refutes
Study finds steroids don’t prevent asthma,UL001795,unproven
Eat This Carb and You Won’t Gain Weight,UL001796,unproven
CCGs increased their spending on mental health by 6.3% last year while their overall funding increased by 3.7%.,UL001797,unproven
Fighting Prostate Cancer: Experimental Drug Helps Shrink Prostate Tumors,UL001798,unproven
"A lot of the wall is built. It’s been very effective. ... El Paso, illegal traffic dropped 72 percent, then ultimately 95 percent, once the wall was up.",UL001799,refutes
FDA OKs continuous blood sugar monitor without finger pricks,UL001801,unproven
Wheat is toxic because farmers   routinely apply Roundup to crops days before harvest to dry down or kill   the plants.,UL001802,unproven
It takes a greater number of facial muscles to frown than it does to smile.,UL001803,unproven
"""The man leading opposition to a controversial """"bathroom bill"""" in North Carolina is a registered sex offender.""",UL001804,unproven
Cancer drug may elude many women who need it,UL001805,unproven
Circulating video depicts an attempted child abduction at a Florida pizza shop.,UL001806,unproven
Colored glasses may provide light sensitivity relief post-concussion,UL001807,unproven
"""Live cats have holes drilled into their skulls,"""" posts put into their heads and coils put into their eyes, and some have had their ears cut off or are intentionally deafened or starved at UW-Madison labs that do research to improve hearing in humans.""",UL001808,unproven
Diabetes drugs may help control lung cancer: study,UL001809,unproven
About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.,UL001810,unproven
"Keep That 1876 Journal Handy, It Just May Help Treat Diabetes",UL001811,unproven
Coconut oil is an effective treatment for Alzheimer's disease.,UL001812,supports
A new Social Security Administration rule would bar Social Security recipients from owning guns.,UL001813,unproven
"""People should rescue fawns with """"curled ears,"""" but leave fawns with """"straight ears"""" alone, as a fawn with """"curled ears"""" has been abandoned.""",UL001814,unproven
Access to Michelle Obama's senior thesis was restricted until after the 2008 presidential election.,UL001815,unproven
Prozac shows promise in recovery from stroke,UL001816,unproven
Novel 'patient-friendly' colonoscopy prep shows excellent efficacy and safety,UL001817,unproven
Blood-boosters may give tiny preemies a developmental edge,UL001818,unproven
Cocoa compound linked to some cardiovascular biomarker improvements,UL001821,unproven
Tiny Device Is a ‘Huge Advance’ for Treatment of Severe Heart Failure,UL001823,unproven
"""E-mailed list features Dave Barry's """"16 Things It Took Me Over 50+ Years to Learn.""",UL001824,unproven
"""Greg Abbott was """"charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.""",UL001825,refutes
Hand sanitizers gradually become less effective after their expiration date.,UL001826,unproven
Ulta Beauty is paying its employees for the duration of the pandemic.,UL001827,unproven
Hope for breast cancer patients,UL001828,unproven
